species,publish_year,href,url,status,dest_path
black_bear,2020,/pdf/bear/20_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/20_drawing_odds.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\draw_odds\97ffae94__black_bear_20_drawing_odds.pdf
black_bear,2021,/pdf/bear/21_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/21_drawing_odds.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\draw_odds\b4710a7f__black_bear_21_drawing_odds.pdf
black_bear,2022,/pdf/bear/22_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/22_drawing_odds.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\eff53094__black_bear_22_drawing_odds.pdf
black_bear,2023,/pdf/bear/23_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/23_drawing_odds.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\39b9ca33__black_bear_23_drawing_odds.pdf
black_bear,2024,/pdf/bear/24_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/24_drawing_odds.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\bb305cd4__black_bear_24_drawing_odds.pdf
black_bear,2025,/pdf/bear/25_drawing_odds.pdf,https://wildlife.utah.gov/pdf/bear/25_drawing_odds.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\8c49b018__black_bear_25_drawing_odds.pdf
turkey,2020,/pdf/uplandgame/turkey/2020_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2020_turkey_bonus_points_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\draw_odds\5213601e__turkey_2020_turkey_bonus_points_draw_results.pdf
turkey,2020,/pdf/uplandgame/turkey/2020_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2020_youth_turkey_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2020\pdf\draw_odds\68991b97__turkey_2020_youth_turkey_draw_results.pdf
turkey,2021,/pdf/uplandgame/turkey/2021_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2021_turkey_bonus_points_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\draw_odds\baa2fb5d__turkey_2021_turkey_bonus_points_draw_results.pdf
turkey,2021,/pdf/uplandgame/turkey/2021_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2021_youth_turkey_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2021\pdf\draw_odds\3deb930b__turkey_2021_youth_turkey_draw_results.pdf
turkey,2022,/pdf/uplandgame/turkey/2022_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2022_turkey_bonus_points_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\d534ae44__turkey_2022_turkey_bonus_points_draw_results.pdf
turkey,2022,/pdf/uplandgame/turkey/2022_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2022_youth_turkey_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\85ebe309__turkey_2022_youth_turkey_draw_results.pdf
turkey,2023,/pdf/uplandgame/turkey/2023_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_turkey_bonus_points_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\88bceb9e__turkey_2023_turkey_bonus_points_draw_results.pdf
turkey,2023,/pdf/uplandgame/turkey/2023_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2023_youth_turkey_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\e91f282e__turkey_2023_youth_turkey_draw_results.pdf
turkey,2024,/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_turkey_bonus_points_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\6a8d3019__turkey_2024_turkey_bonus_points_draw_results.pdf
turkey,2024,/pdf/uplandgame/turkey/2024_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2024_youth_turkey_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\a39de551__turkey_2024_youth_turkey_draw_results.pdf
turkey,2025,/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_turkey_bonus_points_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\a989fbc0__turkey_2025_turkey_bonus_points_draw_results.pdf
turkey,2025,/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf,https://wildlife.utah.gov/pdf/uplandgame/turkey/2025_youth_turkey_draw_results.pdf,downloaded,D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\4a61e137__turkey_2025_youth_turkey_draw_results.pdf
