"filename","current_path","current_year_folder","publish_year_detected","expected_year_folder","status","rule"
"08B0DC78__23_youth_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\08B0DC78__23_youth_deer.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\1DBEBB19__23_youth_antlerless_drawing_odds_report.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants.pdf","2025","2025","2026","needs_manual_move","draw_results_next_year"
"2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\2025_Hunt_Expo_Draw_Permit_Successful_Applicants_short (2).pdf","2025","2025","2026","needs_manual_move","draw_results_next_year"
"2026-04-rac-agenda.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-agenda.pdf","2026","2026","2026","ok_rac_same_year","rac_same_year"
"2026-04-rac-packet a.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet a.pdf","2026","2026","2026","ok_rac_same_year","rac_same_year"
"2026-04-rac-packet shortened.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet shortened.pdf","2026","2026","2026","ok_rac_same_year","rac_same_year"
"2026-04-rac-packet.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\2026-04-rac-packet.pdf","2026","2026","2026","ok_rac_same_year","rac_same_year"
"22_sheep-population.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\22_sheep-population.pdf","2022","2022","2023","needs_manual_move","draw_results_next_year"
"24_bg-draw-results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\24_bg-draw-results.pdf","2025","2025","2026","needs_manual_move","draw_results_next_year"
"25_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_antlerless_drawing_odds_report.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"25_antlerless_drawing_results (2).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\25_antlerless_drawing_results (2).pdf","2025","2025","2026","needs_manual_move","draw_results_next_year"
"25_antlerless_drawing_results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\25_antlerless_drawing_results.pdf","2025","2025","2026","needs_manual_move","draw_results_next_year"
"25_bg-draw-results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2025\pdf\draw_odds\25_bg-draw-results.pdf","2025","2025","2026","needs_manual_move","draw_results_next_year"
"25_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\25_bg-odds.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"26F98064__23_youth_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\26F98064__23_youth_dh_odds.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"33976145__23_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\33976145__23_bg-odds.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"33C56D87__2023 DEER ODDS.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\33C56D87__2023 DEER ODDS.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"45424E60__23_youth_elk.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\45424E60__23_youth_elk.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"52C75E98__2023_youth_turkey_draw_results (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\52C75E98__2023_youth_turkey_draw_results (1).pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"5895CB4C__25_youth_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\5895CB4C__25_youth_dh_odds.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"60619D30__22_bg-odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\60619D30__22_bg-odds.pdf","2024","2024","2025","needs_manual_move","draw_results_next_year"
"82B4290A__25_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\82B4290A__25_dh_odds.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"86B01066__23_deer_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\86B01066__23_deer_odds.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"9CF15BD7__25_deer_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\9CF15BD7__25_deer_odds.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\9CF6A0CF__2023_turkey_bonus_points_draw_results.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"9E134C35__2022-24_conservation_permits.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\9E134C35__2022-24_conservation_permits.pdf","2022","2022","2023","needs_manual_move","draw_results_next_year"
"A77CBEDF__2023 sportsman permit odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\A77CBEDF__2023 sportsman permit odds.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"AC1194F9__2023_cougar_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\AC1194F9__2023_cougar_odds_report.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"AFB9D5C1__23_deer_odds (1).pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\AFB9D5C1__23_deer_odds (1).pdf","2024","2024","2025","needs_manual_move","draw_results_next_year"
"C1465317__23_lifetime_deer.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\C1465317__23_lifetime_deer.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"C22FEBA4__23_drawing_odds BEAR.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\C22FEBA4__23_drawing_odds BEAR.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"CA455989__General Season Deer Draw Odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2024\pdf\draw_odds\CA455989__General Season Deer Draw Odds.pdf","2024","2024","2025","needs_manual_move","draw_results_next_year"
"CB1425A7__draw_reality_engine.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\CB1425A7__draw_reality_engine.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"CB58CE25__25_youth_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2026\pdf\draw_odds\CB58CE25__25_youth_antlerless_drawing_odds_report.pdf","2026","2026","2027","needs_manual_move","draw_results_next_year"
"D133D488__23_antlerless_drawing_odds_report.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\D133D488__23_antlerless_drawing_odds_report.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"D527742A__2023 ELK + OTHER BIG GAME.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\D527742A__2023 ELK + OTHER BIG GAME.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
"F6824B0F__22-23_sportsman_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2022\pdf\draw_odds\F6824B0F__22-23_sportsman_odds.pdf","2022","2022","2023","needs_manual_move","draw_results_next_year"
"FB56D764__23_dh_odds.pdf","D:\DOCUMENTS\GitHub\HUNTS\pipeline\raw\2023\pdf\draw_odds\FB56D764__23_dh_odds.pdf","2023","2023","2024","needs_manual_move","draw_results_next_year"
