hunt_code,source_filename,boundary_id,merged_boundary_id,boundary_geometry_type,geometry_status,member_boundary_count,member_boundary_ids,placemark_count,boundary_kmz_path,boundary_geojson_path,sha256,notes
BI1000,bi1000.kmz,,BI1000_MERGED_2026,merged_kmz,merged_kmz_available,3,637;667;889,3,data/boundaries/kmz/BI1000.kmz,processed_data/boundaries/BI1000.geojson,6a983b9e4bf7beb685952f80f78b3565ce70a365ba1d3fd99bcbe4406f5facb8,
BR1000,br1000.kmz,,BR1000_MERGED_2026,merged_kmz,merged_kmz_available,30,7;12;52;88;92;93;138;163;175;289;444;448;449;455;456;457;462;463;610;611;613;615;616;628;629;630;684;710;744;845,30,data/boundaries/kmz/BR1000.kmz,processed_data/boundaries/BR1000.geojson,1f59a750085e9d96ffe862757f8768f0952691777218c2adb9fd08b0b913339d,
BR1007,br1007.kmz,,BR1007_MERGED_2026,merged_kmz,merged_kmz_available,22,7;52;88;163;175;289;444;448;455;456;457;462;463;613;615;616;628;629;630;684;710;744,22,data/boundaries/kmz/BR1007.kmz,processed_data/boundaries/BR1007.geojson,aa78153ded8662099ad3f54430ab6261bc013d6d4cde50a46bc4e95725f93917,
CG9999,cg9999  cougar.kmz,,CG9999_MERGED_2026,merged_kmz,merged_kmz_available,53,8;16;26;29;56;57;59;63;71;75;76;86;88;94;97;117;140;143;163;172;191;226;234;237;239;243;247;276;444;445;446;609;613;625;629;630;632;633;634;635;668;672;681;683;684;685;711;729;730;752;753;818;819,53,data/boundaries/kmz/CG9999.kmz,processed_data/boundaries/CG9999.geojson,969845045e8df729ce786794c277afeecea31841e4d0f73cea3d00545741d2eb,
DB0007,db0007.kmz,,DB0007_MERGED_2026,merged_kmz,merged_kmz_available,28,7;15;32;85;94;108;138;163;185;206;248;609;610;611;612;613;615;621;625;628;629;630;632;633;635;636;714;802,28,data/boundaries/kmz/DB0007.kmz,processed_data/boundaries/DB0007.geojson,2343b19418a92dc64f3d56289fc0719ab521c621615dfd8f2695f5f3b769a07e,
EA2000,ea2000.kmz,,EA2000_MERGED_2026,merged_kmz,merged_kmz_available,8,69;94;117;276;609;611;635;636,8,data/boundaries/kmz/EA2000.kmz,processed_data/boundaries/EA2000.geojson,7c2b9275886712a0110d3223764389d2587398920880e8d2707a2856af95d755,
EB1000,eb1000.kmz,,EB1000_MERGED_2026,merged_kmz,merged_kmz_available,27,12;17;33;36;41;51;88;108;128;140;163;175;183;206;222;241;449;455;616;617;622;625;629;630;634;683;685,27,data/boundaries/kmz/EB1000.kmz,processed_data/boundaries/EB1000.geojson,206826257ad695ab465b2ed5ff413bd2bbb2c6a43aca06462e3bd4cdc64d8a0d,
EB1002,eb1002.kmz,,EB1002_MERGED_2026,merged_kmz,merged_kmz_available,29,18;69;81;94;107;117;129;138;142;163;188;194;276;277;301;304;609;611;613;614;635;636;639;672;868;902;925;947;948,29,data/boundaries/kmz/EB1002.kmz,processed_data/boundaries/EB1002.geojson,5eceb71e4e6527b012669c2bfde5092135a23cb949d3703300460300f7adc167,
EB1003,eb1003.kmz,,EB1003_MERGED_2026,merged_kmz,merged_kmz_available,24,12;33;51;88;108;175;183;206;222;241;302;303;455;617;625;629;630;634;685;742;751;867;899;901,24,data/boundaries/kmz/EB1003.kmz,processed_data/boundaries/EB1003.geojson,f9b787146853bc3a71c024846c730beae61528bc72a16db3a4f2c4c3ad4478ac,
EB1004,eb1004.kmz,,EB1004_MERGED_2026,merged_kmz,merged_kmz_available,24,12;33;51;88;108;175;183;206;222;241;302;303;455;617;625;629;630;634;685;742;751;867;899;901,24,data/boundaries/kmz/EB1004.kmz,processed_data/boundaries/EB1004.geojson,f9b787146853bc3a71c024846c730beae61528bc72a16db3a4f2c4c3ad4478ac,
EB1005,eb1005.kmz,,EB1005_MERGED_2026,merged_kmz,merged_kmz_available,52,12;18;33;51;69;81;88;94;107;108;117;129;138;142;175;183;188;194;206;222;241;276;277;301;302;303;304;455;609;611;613;614;617;625;629;630;634;635;636;639;672;685;742;751;867;868;899;901;902;925;947;948,52,data/boundaries/kmz/EB1005.kmz,processed_data/boundaries/EB1005.geojson,a7df14b8688f777eeac912f9d30885ec04b21905eceb96cc0329cd9356e9e43a,
EB1007,eb1007.kmz,,EB1007_MERGED_2026,merged_kmz,merged_kmz_available,28,18;69;81;94;107;117;129;143;163;188;194;276;277;301;304;609;611;613;614;635;636;639;672;868;902;925;947;948,28,data/boundaries/kmz/EB1007.kmz,processed_data/boundaries/EB1007.geojson,15d16f23d13be74d094de5ebb67a1f5b5fda4aadad18e1b0d6aafa0771d7dcde,
EB1009,eb1009.kmz,,EB1009_MERGED_2026,merged_kmz,merged_kmz_available,24,12;33;51;88;108;175;183;206;222;241;302;303;455;617;625;629;630;634;685;742;751;867;899;901,24,data/boundaries/kmz/EB1009.kmz,processed_data/boundaries/EB1009.geojson,f9b787146853bc3a71c024846c730beae61528bc72a16db3a4f2c4c3ad4478ac,
EB1010,eb1010.kmz,,EB1010_MERGED_2026,merged_kmz,merged_kmz_available,29,18;69;81;94;107;117;129;138;142;163;188;194;276;277;301;304;609;611;613;614;635;636;639;672;868;902;925;947;948,29,data/boundaries/kmz/EB1010.kmz,processed_data/boundaries/EB1010.geojson,5eceb71e4e6527b012669c2bfde5092135a23cb949d3703300460300f7adc167,
EB1011,eb1011.kmz,,EB1011_MERGED_2026,merged_kmz,merged_kmz_available,53,12;18;33;51;69;81;88;94;107;108;117;129;138;142;163;175;183;188;194;206;222;241;276;277;301;302;303;304;455;609;611;613;614;617;625;629;630;634;635;636;639;672;685;742;751;867;868;899;901;902;925;947;948,53,data/boundaries/kmz/EB1011.kmz,processed_data/boundaries/EB1011.geojson,6e76ef1fb15262eee3c883872c124371cca7246ad1aed1cf4e5122b111d30185,
EB1012,eb1012.kmz,931,,single_kmz,single_kmz_available,1,931,1,data/boundaries/kmz/EB1012.kmz,processed_data/boundaries/EB1012.geojson,4094f118c1cc970588afc83f91e1c1111373b6afdf192cc577959a69ce504d63,
EB3128,eb 3128 conservation bull elk.kmz,867,,single_kmz,single_kmz_available,1,867,1,data/boundaries/kmz/EB3128.kmz,processed_data/boundaries/EB3128.geojson,b9ebdee0060b9e9e7573263ba004f146c5d43e8d71cbce69ce5a4423b5fbe8bf,
EX1000,ex1000.kmz,,EX1000_MERGED_2026,merged_kmz,merged_kmz_available,3,218;282;313,3,data/boundaries/kmz/EX1000.kmz,processed_data/boundaries/EX1000.geojson,02f17a19cb442e7d46ce755d6f989b997f652b646301e3aa05f9e79c6520722f,
GO1000,go1000.kmz,,GO1000_MERGED_2026,merged_kmz,merged_kmz_available,14,102;145;146;147;148;157;200;225;231;233;616;617;628;630,14,data/boundaries/kmz/GO1000.kmz,processed_data/boundaries/GO1000.geojson,c7a6c327a1e4d36a7c6e2561880c307cd6229648227d5ead3ef95768077cb03e,
MB1000,mb1000.kmz,,MB1000_MERGED_2026,merged_kmz,merged_kmz_available,12,29;69;79;117;138;276;289;452;609;611;613;743,12,data/boundaries/kmz/MB1000.kmz,processed_data/boundaries/MB1000.geojson,036f501928cb4ae3a81cf35caccd538626c0d84685743e81f98f65681fe01671,
PB1000,pb1000.kmz,,PB1000_MERGED_2026,merged_kmz,merged_kmz_available,29,8;15;24;25;27;81;97;129;138;171;186;194;208;244;245;246;277;289;443;453;461;625;628;636;688;715;718;719;755,29,data/boundaries/kmz/PB1000.kmz,processed_data/boundaries/PB1000.geojson,ed038f2bcb64d74592e13592f69e72976fbe4d13892fccd1a52ad1ba3760fc89,
RS0001,rs0001.kmz,,RS0001_MERGED_2026,merged_kmz,merged_kmz_available,10,15;20;75;616;620;668;820;821;823;854,10,data/boundaries/kmz/RS0001.kmz,processed_data/boundaries/RS0001.geojson,8dbf2f93af5ab950449945ffa6dea043209e83dd0d24445f07e35352f2e7a219,
TK1001,tk1001.kmz,,TK1001_MERGED_2026,merged_kmz,merged_kmz_available,6,911;912;913;914;915;916,6,data/boundaries/kmz/TK1001.kmz,processed_data/boundaries/TK1001.geojson,55f564e7fa95a87f22bd9078a804d390a121a17d3ed2d559adcc2283787e44ae,
TK1019,tk1019.kmz,,TK1019_MERGED_2026,merged_kmz,merged_kmz_available,2,849;946,2,data/boundaries/kmz/TK1019.kmz,processed_data/boundaries/TK1019.geojson,ffa554b2c0d1052677ac7441068d6b8dfc7fbbc0e787a53d9c922075242b180f,
TK1020,tk1020.kmz,898,,single_kmz,single_kmz_available,1,898,1,data/boundaries/kmz/TK1020.kmz,processed_data/boundaries/TK1020.geojson,9de84036520dcbb33e2ce7fbc48383f030c341339f6b96b405bb6ca24a49032b,
TK1022,tk1022.kmz,,TK1022_MERGED_2026,merged_kmz,merged_kmz_available,4,942;943;944;945,4,data/boundaries/kmz/TK1022.kmz,processed_data/boundaries/TK1022.geojson,f8f2e766e18fcf81935c5ecc165af195810831a1bb3d9481835082b415ec542c,
