source_dir,name,ext,bytes,year_guess,category_guess,csv_header,has_hunt_code_tokens,has_harvest_table_headers,has_success,has_avg_days,has_satisfaction,has_average_age
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,2025_hunt_success_independent_sheet.csv,csv,108213,,,"hunt_code,species,hunt_name,hunt_type,weapon,sex_type,permits_total,hunters,harvest,percent_success,avg_days,satisfaction,access_type",false,false,true,false,true,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,2025_hunt_success_independent_sheet.xlsx,xlsx,79209,,,,true,,true,false,true,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,2026-03-06-2025-preliminary-bg-harvest.pdf,pdf,662361,2026,harvest_report,,true,false,true,true,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,2026-03-06-2025-preliminary-bg-harvest.xlsx,xlsx,94004,2026,harvest_report,,true,,true,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,2026-04-rac-packet.docx,docx,9614458,2026,rac_packet,,,,,,,
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,25_antlerless_drawing_odds_report.pdf,pdf,3534025,,draw_odds,,true,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,25_bg-odds.pdf,pdf,12732089,,draw_odds,,true,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,hunt_join_2025.1.csv,csv,133944,,,"hunt_code,page,section,line,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,split_type,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total_2025_ma",false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data 2025,hunt_join_2025.csv,csv,140566,,,"hunt_code,page,section,line,permits_2025_res,permits_2025_nr,permits_2025_total,permits_2026_res,permits_2026_nr,permits_2026_total,split_type,species,hunt_name,hunt_type,weapon,sex_type,access_type,permits_total_2025_ma",false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2024,2024_antlerless_hr.xlsx,xlsx,25202,,antlerless,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2024,2024_gs_buck_deer_hr.pdf,pdf,134087,,,,true,true,true,true,true,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2024,2024_le_oial_all.pdf,pdf,384682,,,,true,true,true,true,true,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2024,24_bg_report.pdf,pdf,14037480,,harvest_report,,false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,2026-03-06-2025-preliminary-bg-harvest.pdf,pdf,662361,2026,harvest_report,,true,false,true,true,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,2026-04-rac-agenda.pdf,pdf,175849,2026,rac_agenda,,false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,2026-04-rac-packet a.pdf,pdf,4942063,2026,rac_packet,,true,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,2026-04-rac-packet a.xlsx,xlsx,9438379,2026,rac_packet,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,2026-04-rac-packet.pdf,pdf,5209425,2026,rac_packet,,false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,2026-04-rac-packet.xlsx,xlsx,9478674,2026,rac_packet,,false,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,25_antlerless_drawing_odds_report.pdf,pdf,3534025,,draw_odds,,true,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,25_bg-odds.pdf,pdf,12732089,,draw_odds,,true,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,antlerless deer.xlsx,xlsx,12184,,antlerless,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,antlerless elk.xlsx,xlsx,33496,,antlerless,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,bison  cow.xlsx,xlsx,11953,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,bison bull.xlsx,xlsx,12302,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,black bear.xlsx,xlsx,11946,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,BUCK DEER.xlsx,xlsx,45797,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,BULL ELK DATABASE.xlsx,xlsx,38927,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,bull elk hunter's choice.xlsx,xlsx,10343,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,bull moose.xlsx,xlsx,13808,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,cougar.xlsx,xlsx,10327,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,cow moose.xlsx,xlsx,11252,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,deer hunter's choice.xlsx,xlsx,26734,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,desert sheep ram.xlsx,xlsx,13213,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,mtn goat.xlsx,xlsx,12815,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,pronghorn buck.xlsx,xlsx,21562,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,pronghorn doe.xlsx,xlsx,13678,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,rocky mtn sheep ewe.xlsx,xlsx,10546,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,rocky mtn. sheep.xlsx,xlsx,12755,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,Turkey  Either Sex.csv,csv,554,,,"﻿,,,,,,,",false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,Turkey  Either Sex.xlsx,xlsx,10636,,,,true,,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,Turkey Bearded.csv,csv,1959,,,"﻿,,,,,,,",false,false,false,false,false,false
C:\UOGA HUNTS\uoga_project_backup\raw_data_2026,Turkey Bearded.xlsx,xlsx,11239,,,,true,,false,false,false,false
